# Project DownloadCount ErrorProbability
google-cloud-storage 54923384 0
tomlkit 52522904 0
pydantic-core 51781995 0
google-cloud-core 51321663 0
requests-toolbelt 49924601 0
coverage 49714646 0
iniconfig 49509557 0
decorator 48467356 0
deprecated 48276944 0
sagemaker 48175055 1
google-resumable-media 47811703 0
rpds-py 47633211 1
referencing 47515496 1
msal 47505736 0
jsonschema-specifications 46987841 1
msgpack 46926592 0
chardet 46642964 0
more-itertools 46124393 0
pexpect 45739463 0
bcrypt 45431473 0
psycopg2-binary 45381794 0
gitpython 44960539 0
paramiko 43706370 0
tabulate 43694945 0
annotated-types 43652939 0
gitdb 43145202 0
smmap 43045812 0
matplotlib 43034414 0
pynacl 42988458 0
azure-storage-blob 42930730 0
proto-plus 42687771 0
wcwidth 42508284 0
nest-asyncio 41484253 0
scikit-learn 41390496 0
pathspec 40267732 0
itsdangerous 39621618 0
kiwisolver 39587776 0
google-auth-oauthlib 39344512 0
tzdata 39196127 0
pg8000 38883761 0
portalocker 38881478 0
dill 38812774 0
poetry-core 38669172 0
redshift-connector 38021441 0
pymysql 37676280 0
backoff 37579671 0
grpcio-tools 37370989 0
regex 37339482 0
awswrangler 37253754 0
tzlocal 37172231 0
joblib 36928344 0
cycler 36862075 0
keyring 36678816 0
snowflake-connector-python 35612093 0
google-cloud-bigquery 34981894 0
msal-extensions 34735011 0
py4j 34729454 0
scramp 34351011 0
jsonpath-ng 34247785 0
azure-identity 34012641 0
jaraco-classes 33082335 0
networkx 33026447 0
cloudpickle 32826871 1
docker 32704079 0
tenacity 32690725 0
fonttools 32689289 0
google-api-python-client 32309057 0
threadpoolctl 32027034 0
rich 31928981 0
ruamel-yaml 31919138 0
cython 31874832 0
opensearch-py 31463965 1
mypy-extensions 31442498 0
redis 31381896 0
pyrsistent 31262224 0
prompt-toolkit 31097061 0
poetry-plugin-export 30991485 0
markdown-it-py 30920231 0
ptyprocess 30869295 0
sqlparse 30565287 0
h11 30344914 0
azure-common 30183358 0
google-crc32c 30150400 0
termcolor 30080083 0
rapidfuzz 29699563 0
fastjsonschema 29650212 0
aenum 29415055 0
ply 29321788 0
gunicorn 29231787 0
msrest 29213007 0
apache-airflow 29112334 1
markdown 29006562 0
google-auth-httplib2 28889906 0
python-dotenv 28695203 0
tb-nightly 28679545 1
alembic 28671274 0
tornado 28507449 0
marshmallow 28490858 0
blinker 28451796 0
babel 28423347 0
httpcore 28314621 0
traitlets 28095665 0
cachecontrol 28085781 0
httpx 27971156 0
ruamel-yaml-clib 27616816 0
pycryptodomex 27400614 0
requests-aws4auth 27349536 0
future 27131109 0
shellingham 27110964 0
pyspark 26884555 0
gremlinpython 26841475 1
build 26635426 0
ipython 26555677 0
py 26489223 0
httplib2 26347565 0
pytest-cov 26336016 0
trove-classifiers 26256848 0
xmltodict 25923713 0
dnspython 25477469 0
pycodestyle 24987451 0
mako 24903374 0
jedi 24699711 0
uritemplate 24432497 0
dulwich 24416832 0
sortedcontainers 23995366 0
pyzmq 23643008 0
toml 23578242 0
contourpy 23378252 0
fastapi 23351121 0
python-utils 23138111 0
cleo 23036231 0
isort 22952493 0
pyodbc 22901135 1
jsonpointer 22858796 0
progressbar2 22772420 0
poetry 22465951 0
typing-inspect 22327158 0
datadog 22242055 0
secretstorage 21812087 0
multiprocess 21795944 0
jeepney 21758717 0
pkgutil-resolve-name 21557465 0
pycryptodome 21526112 0
sentry-sdk 21420072 0
prometheus-client 21391023 0
mdurl 21260143 0
absl-py 21154514 0
mccabe 20847488 0
tensorboard 20743141 0
argcomplete 20666386 0
pymongo 20575690 0
grpc-google-iam-v1 20573740 0
websockets 20506669 0
databricks-cli 20458778 0
black 20258747 0
huggingface-hub 20054037 0
defusedxml 20005714 0
humanfriendly 19965799 0
pkginfo 19892021 0
jupyter-core 19862916 0
adal 19590468 0
starlette 19528755 0
dvclive 19486232 1
toolz 19469031 0
arrow 19303767 0
oscrypto 19158859 0
nbconvert 19156826 1
jupyter-server 19122598 1
setuptools-scm 19096470 0
jupyter-client 18620327 0
asgiref 18604458 0
jsonpatch 18364556 0
python-json-logger 18353077 0
imageio 18328088 0
pyflakes 18232864 0
kubernetes 18209576 0
transformers 17931182 1
slack-sdk 17903443 0
appdirs 17676505 0
webencodings 17595051 0
xlrd 17546733 0
flake8 17533374 0
pytest-runner 17513679 0
aioitertools 17485657 0
pendulum 17164798 1
pbr 17073000 0
parso 16957828 0
simplejson 16931098 0
opentelemetry-api 16839976 0
zope-interface 16658602 0
cattrs 16624064 0
uvicorn 16558081 0
types-python-dateutil 16498147 0
tensorflow 16392433 1
asttokens 16387172 0
snowflake-sqlalchemy 16375737 0
pyproject-hooks 16375241 0
matplotlib-inline 16060797 0
executing 15999857 0
rfc3339-validator 15936654 0
smart-open 15919935 0
notebook 15905788 1
ipykernel 15723562 0
stack-data 15695648 0
google-cloud-bigquery-storage 15440952 0
bs4 15335287 1
elasticsearch 15252688 1
nbformat 14973752 1
altair 14926315 1
google-cloud-secret-manager 14710967 0
astroid 14702838 0
coloredlogs 14621166 0
torch 14611018 1
asynctest 14577981 0
shapely 14539045 0
h5py 14464404 1
contextlib2 14414650 0
pytzdata 14326941 0
tokenizers 14316210 1
google-pasta 14248325 0
oauth2client 14212809 0
google-cloud-pubsub 14196056 0
debugpy 14076400 0
mistune 14074490 0
setproctitle 13943686 0
xlsxwriter 13907996 0
distro 13906655 0
pygithub 13829086 0
pylint 13814784 0
loguru 13804246 0
numba 13787679 0
tensorflow-estimator 13745202 0
crashtest 13657529 0
requests-file 13607154 0
mlflow 13599981 1
bleach 13593263 0
llvmlite 13435979 0
jupyterlab-server 13393778 1
mdit-py-plugins 13207394 0
mysql-connector-python 13190569 1
pathos 13099373 0
gast 12938017 0
opentelemetry-sdk 12862572 0
pox 12838891 0
ppft 12832819 0
pysocks 12814340 0
psycopg2 12810261 1
great-expectations 12744542 1
flatbuffers 12736387 0
azure-storage-file-datalake 12730760 1
backports-zoneinfo 12728935 1
keras 12722218 1
hvac 12684432 0
overrides 12509565 0
orjson 12490149 0
identify 12483797 0
nodeenv 12450910 0
croniter 12412843 0
execnet 12144964 0
comm 12076012 0
patsy 12051976 0
entrypoints 11962900 0
cinemagoer 11942182 0
imdbpy 11934952 1
installer 11897775 0
mypy 11840657 0
openai 11833198 0
msrestazure 11768284 0
json5 11730693 0
cfgv 11680867 0
responses 11664594 0
nltk 11573229 0
seaborn 11539654 0
send2trash 11524592 0
pre-commit 11475793 0
scikit-image 11439542 1
nbclient 11429749 1
sentencepiece 11399907 0
pytest-xdist 11374960 0
sphinx 11348328 1
tensorboard-data-server 11347583 0
lazy-object-proxy 11302818 0
dataclasses-json 11252300 0
gcsfs 11221886 0
jupyterlab 11221319 1
statsmodels 11125601 0
apache-airflow-providers-common-sql 11113542 1
typer 11110083 0
tinycss2 11096939 0
xgboost 11095588 1
mock 11073564 0
antlr4-python3-runtime 11043363 0
ordered-set 11042196 0
dataclasses 11028981 1
pure-eval 10984902 0
cached-property 10902689 0
jupyter-events 10884525 1
selenium 10877543 0
retry 10812493 0
aws-sam-translator 10798428 1
db-dtypes 10778918 0
azure-mgmt-core 10756957 0
text-unidecode 10755982 0
deepdiff 10748815 0
python-slugify 10743534 0
opentelemetry-semantic-conventions 10718747 0
typeguard 10656624 0
pickleshare 10610973 0
querystring-parser 10591530 0
tox 10567506 0
argon2-cffi 10491326 0
notebook-shim 10436906 1
safetensors 10404554 1
django 10393813 0
backcall 10345073 0
uri-template 10342828 0
tensorflow-io-gcs-filesystem 10266151 1
semver 10234510 0
watchdog 10155806 0
pipenv 10155595 0
wandb 10145111 0
thrift 10136599 0
plotly 10105448 0
opencv-python 10061541 1
fastavro 10008739 0
unidecode 9996282 0
google-cloud-firestore 9991647 0
widgetsnbextension 9982238 0
opentelemetry-proto 9958308 0
docopt 9939621 0
confluent-kafka 9916334 0
ipywidgets 9911858 0
types-requests 9888386 0
click-plugins 9842356 0
opencensus 9792097 0
python-gitlab 9690034 0
jupyterlab-pygments 9673895 0
mypy-boto3-rds 9629181 0
jupyter-server-terminals 9625771 0
configparser 9615951 0
prettytable 9613978 0
async-lru 9584955 0
torchvision 9428959 1
pytest-mock 9398296 0
jupyterlab-widgets 9385355 0
html5lib 9310904 0
semantic-version 9303390 0
retrying 9294722 0
jupyter-lsp 9288095 1
pycrypto 9235518 0
google-cloud-appengine-logging 9200046 0
chex 9100601 0
pysftp 9057219 0
terminado 9053629 0
python-daemon 9031756 0
webcolors 8975951 0
zeep 8973049 0
futures 8936606 1
rfc3986-validator 8935714 0
pywavelets 8920301 1
azure-nspkg 8871811 0
opencensus-ext-azure 8868510 0
faker 8798876 0
colorlog 8781604 0
azure-keyvault-secrets 8726584 0
checkov 8722321 1
aiofiles 8721712 0
fqdn 8697426 0
schema 8686609 0
isoduration 8671733 0
sympy 8639178 0
tensorflow-serving-api 8584488 1
azure-mgmt-resource 8536825 0
jsonpickle 8525517 0
moto 8487482 0
azure-datalake-store 8467948 0
opentelemetry-exporter-otlp-proto-http 8415332 0
azure-storage-common 8369932 0
trio 8328723 0
lockfile 8305097 0
sphinxcontrib-serializinghtml 8301488 0
mpmath 8299729 0
imbalanced-learn 8262114 0
pymssql 8238032 0
cfn-lint 8190659 1
opencensus-context 8180349 0
libcst 8112612 1
outcome 8105182 0
pyathena 8079167 0
brotli 8073771 0
makefun 8015848 0
libclang 8003428 0
typing 8002063 1
opentelemetry-exporter-otlp-proto-common 7989927 0
opt-einsum 7981100 0
delta-spark 7925519 1
flask-appbuilder 7888117 1
lz4 7887783 0
pandocfilters 7880122 0
trio-websocket 7791986 0
tblib 7791116 0
google-cloud-resource-manager 7785535 0
inflection 7756890 0
sphinxcontrib-htmlhelp 7749812 0
astunparse 7730024 0
sphinxcontrib-applehelp 7705375 0
sphinxcontrib-qthelp 7695577 0
sphinxcontrib-devhelp 7695466 0
argon2-cffi-bindings 7695426 0
click-man 7650677 1
pandas-gbq 7557447 0
smdebug-rulesconfig 7475388 0
aws-requests-auth 7410532 1
python-gnupg 7407046 0
gspread 7371357 0
opentelemetry-exporter-otlp-proto-grpc 7325637 0
deprecation 7291392 0
pybind11 7253350 0
accelerate 7223036 1
wsproto 7207672 0
opentelemetry-exporter-otlp 7198636 0
google-cloud-logging 7194544 0
boto 7132185 0
argparse 7096534 1
ujson 7077380 0
pydata-google-auth 7075132 0
pyproj 7066169 0
dvc-render 7061677 0
tldextract 7043026 0
grpcio-health-checking 7036855 1
cmake 7030606 1
zope-event 6940727 0
ecdsa 6938001 0
kombu 6933044 0
simple-salesforce 6932506 1
types-pyyaml 6930418 0
datetime 6921015 0
rfc3986 6888056 0
triton 6869473 0
apscheduler 6855916 0
uvloop 6842233 0
email-validator 6833441 0
gevent 6812755 0
xxhash 6800572 0
sshtunnel 6784604 0
azure-graphrbac 6762454 0
graphviz 6742707 0
celery 6724334 0
snowballstemmer 6723941 0
docker-pycreds 6708107 0
amqp 6695859 0
shap 6615039 1
kafka-python 6592435 0
azure-storage-queue 6570667 0
azure-mgmt-storage 6567764 0
google-re2 6539091 1
rich-argparse 6507276 0
texttable 6486034 0
azure-keyvault 6483959 0
applicationinsights 6475795 0
apache-beam 6442844 1
dbt-core 6407884 1
pycountry 6401963 1
pydeequ 6363552 1
vine 6307508 0
lightgbm 6303526 1
apispec 6303195 0
azure-cosmos 6299026 0
stevedore 6280287 0
pytest-asyncio 6262370 0
robotframework-seleniumlibrary 6245882 1
freezegun 6233393 0
databricks-sql-connector 6223154 0
enum34 6222287 0
fasteners 6185775 0
parsedatetime 6178810 0
watchtower 6156205 1
docstring-parser 6130739 0
mypy-boto3-appflow 6126008 1
cligj 6085895 0
billiard 6061040 0
sklearn 6028127 1
httptools 6020294 0
ijson 6019267 0
dask 5993137 1
azure-servicebus 5959103 0
structlog 5944952 0
apache-airflow-providers-http 5906028 1
authlib 5904167 0
limits 5895202 0
validators 5895050 0
nvidia-cudnn-cu12 5891403 0
spacy 5889708 0
pathlib2 5885411 0
datasets 5880565 0
holidays 5857125 0
azure-mgmt-keyvault 5856849 0
ninja 5836321 1
azure-mgmt-containerregistry 5829841 0
protobuf3-to-dict 5828319 0
gsutil 5827570 1
flask-cors 5821678 0
fire 5779477 0
tensorboard-plugin-wit 5730634 0
fiona 5719435 0
google-cloud-aiplatform 5712537 1
typed-ast 5708079 0
pyhcl 5703841 0
imagesize 5698710 0
omegaconf 5673426 0
ipython-genutils 5667300 0
jira 5664598 1
azure-eventhub 5620603 0
tifffile 5614465 0
ratelimit 5604375 0
python-http-client 5587717 0
bitarray 5587687 0
unicodecsv 5552198 0
fastparquet 5500500 1
thinc 5493063 1
azure-mgmt-authorization 5486060 0
geopandas 5485610 0
flask-limiter 5484478 0
avro 5471870 0
flask-wtf 5469699 1
einops 5462880 0
slicer 5448692 0
nvidia-nvjitlink-cu12 5441037 0
invoke 5400383 0
python-magic 5369851 0
boto3-stubs 5363899 0
alabaster 5314588 1
python-box 5302063 0
pytest-metadata 5280897 0
srsly 5273809 0
prometheus-flask-exporter 5267505 0
cymem 5263169 0
azure-keyvault-keys 5253393 0
connexion 5248219 1
python-jose 5234658 0
murmurhash 5229598 0
ruff 5224339 1
blis 5215583 0
preshed 5200168 0
cerberus 5193664 0
botocore-stubs 5189430 0
readme-renderer 5187874 1
apache-airflow-providers-ssh 5169892 1
azure-mgmt-datafactory 5155983 0
sendgrid 5154721 0
parse 5142189 0
python-multipart 5141342 0
click-repl 5131455 0
sphinxcontrib-jsmath 5112201 0
zstandard 5099624 0
uamqp 5096303 1
jpype1 5095177 0
ml-dtypes 5079942 0
djangorestframework 5064122 0
azure-mgmt-compute 5028287 0
office365-rest-python-client 5024515 1
azure-mgmt-network 5019207 0
lazy-loader 4997982 0
pyproject-api 4986559 0
catalogue 4979718 0
wasabi 4970762 0
cramjam 4940407 1
mypy-boto3-s3 4916633 0
ddtrace 4876032 1
ipaddress 4852970 0
fuzzywuzzy 4848194 0
flask-sqlalchemy 4826620 1
aws-psycopg2 4815619 1
flask-login 4803316 0
opencv-python-headless 4799590 0
monotonic 4796267 0
avro-python3 4781848 1
hatchling 4764276 1
azure-storage-file-share 4730940 0
nh3 4724705 1
humanize 4700738 0
keras-preprocessing 4682932 0
pyspnego 4668605 0
google-cloud-audit-log 4644782 0
numexpr 4632321 0
pip-tools 4627982 1
partd 4626296 0
mysqlclient 4624628 1
cdk-nag 4624004 0
flask-jwt-extended 4592095 0
marshmallow-enum 4589540 0
cssselect 4571626 0
iso8601 4564228 0
pytimeparse 4562728 0
jax 4554834 0
editables 4542945 1
torchmetrics 4541542 1
python-levenshtein 4528927 1
starkbank-ecdsa 4523166 0
azure-mgmt-cosmosdb 4507902 0
tiktoken 4501115 1
types-awscrt 4493895 0
sh 4473035 0
watchfiles 4409516 0
kfp 4385609 1
apache-airflow-providers-amazon 4354519 1
spacy-loggers 4328285 0
jaydebeapi 4323654 0
pywin32 4321386 1
knack 4301018 0
mashumaro 4299143 0
azure-mgmt-nspkg 4288687 0
dateparser 4284795 0
astor 4279769 0
cron-descriptor 4267857 0
types-urllib3 4261366 0
inflect 4244093 0
lightning-utilities 4235914 0
types-s3transfer 4235478 0
slackclient 4234690 0
geopy 4226080 0
stringcase 4226021 0
nvidia-cublas-cu12 4225799 0
flask-caching 4220624 0
google-cloud 4209098 0
nvidia-cuda-nvrtc-cu12 4192004 0
tensorflow-io 4186814 1
azure-mgmt-recoveryservices 4181624 0
pyarrow-hotfix 4180257 0
azure-cli 4177433 0
azure-mgmt-containerservice 4169943 0
netaddr 4169541 0
azure-mgmt-redis 4168837 0
nvidia-cuda-runtime-cu12 4151757 0
azure-mgmt-datalake-nspkg 4145239 0
nvidia-cuda-cupti-cu12 4140883 0
nvidia-cufft-cu12 4134117 0
pyotp 4133900 0
constructs 4133563 0
azure-batch 4131191 0
nvidia-cusolver-cu12 4124962 1
azure-mgmt-sql 4123632 0
nvidia-cusparse-cu12 4122796 1
pytorch-lightning 4119037 1
azure-mgmt-msi 4110991 0
nose 4110462 0
nvidia-nccl-cu12 4105027 0
nvidia-curand-cu12 4087088 0
confection 4077988 1
azure-mgmt-monitor 4072191 0
crcmod 4068334 0
pytest-timeout 4064778 0
ansible 4061120 0
azure-mgmt-containerinstance 4054571 0
azure-mgmt-datalake-store 4054345 0
phonenumbers 4047401 0
azure-data-tables 4046567 0
fabric 4045121 0
dpath 4037939 0
hypothesis 4026754 0
azure-mgmt-signalr 4016862 0
nvidia-nvtx-cu12 4014908 0
hpack 3994500 0
google-cloud-vision 3993116 0
pydot 3992015 0
yapf 3979971 0
azure-mgmt-rdbms 3976035 0
bytecode 3975620 0
ftfy 3971276 0
wtforms 3962594 1
mypy-boto3-redshift-data 3957627 1
azure-kusto-data 3955166 1
pytest-html 3952548 1
qtconsole 3951098 0
django-cors-headers 3934679 0
atomicwrites 3934143 0
hyperframe 3896807 0
h2 3895760 0
geoip2 3889334 0
sqlalchemy-utils 3888773 0
azure-mgmt-recoveryservicesbackup 3886473 0
onnxruntime 3882992 0
azure-mgmt-iothub 3875956 0
diskcache 3867982 0
yamllint 3867460 0
maxminddb 3862142 0
azure-mgmt-dns 3861134 0
azure-mgmt-eventhub 3858610 0
ua-parser 3858446 0
langchain 3853997 0
tensorflow-text 3850419 1
azure-mgmt-search 3847949 0
azure-mgmt-web 3843844 0
azure-mgmt-cognitiveservices 3832242 0
pyperclip 3828364 0
databricks-sdk 3820886 1
cachelib 3820458 0
gradio 3812728 1
spark-nlp 3809616 1
levenshtein 3801732 1
asyncio 3799268 1
jsondiff 3786605 0
agate 3781226 0
types-setuptools 3774521 0
tensorstore 3772205 1
types-pytz 3763265 0
geographiclib 3763088 0
qtpy 3761876 0
graphframes 3755409 1
azure-mgmt-batch 3753322 0
azure-mgmt-servicebus 3748999 0
click-didyoumean 3747555 0
azure-mgmt-loganalytics 3729131 0
bokeh 3727892 1
apache-airflow-providers-snowflake 3722718 1
azure-mgmt-cdn 3720510 0
kr8s 3700358 1
python-jsonpath 3693309 1
azure-mgmt-trafficmanager 3692073 0
azure-mgmt-marketplaceordering 3684704 0
flit-core 3681551 0
azure-mgmt-devtestlabs 3675957 0
google-cloud-bigtable 3672521 0
pymeeus 3653291 0
apache-airflow-providers-ftp 3643889 1
gensim 3643579 0
pyserial 3640172 0
azure-mgmt-managementgroups 3637274 0
google-cloud-dataproc 3633737 0
onnx 3628448 1
azure-mgmt-eventgrid 3615934 0
linkify-it-py 3612025 0
azure-mgmt-applicationinsights 3611073 0
pathy 3601010 1
azure-mgmt-media 3592604 0
azure-mgmt-iothubprovisioningservices 3585660 0
azure-mgmt-servicefabric 3582445 0
azure-mgmt-advisor 3582374 0
azure-mgmt-billing 3581854 0
azure-mgmt-batchai 3573164 0
azure-mgmt-policyinsights 3571261 0
ultralytics 3568049 0
graphql-core 3567774 0
azure-mgmt-iotcentral 3559516 0
google-cloud-kms 3559275 0
envier 3558362 1
azure-mgmt-maps 3546549 0
azure-mgmt-datamigration 3545706 0
certbot-dns-google-domains 3535927 1
types-protobuf 3528896 0
apache-airflow-providers-imap 3525128 1
pytest-rerunfailures 3520176 0
python-docx 3518477 0
azure-cli-core 3514482 0
kfp-server-api 3507059 1
kfp-pipeline-spec 3505053 1
google-cloud-dlp 3502917 0
azure-loganalytics 3502370 0
opentelemetry-instrumentation 3496687 0
timm 3493098 1
marshmallow-sqlalchemy 3479613 0
scp 3467178 0
reportlab 3466887 0
uc-micro-py 3457772 0
keras-applications 3443978 1
pypdf2 3443414 0
azure-appconfiguration 3442970 0
natsort 3440254 0
requests-mock 3438928 0
locket 3412554 0
parameterized 3389620 0
dbt-extractor 3388670 1
google-cloud-spanner 3387881 0
statsd 3379802 0
boltons 3378625 0
jupyter-console 3377592 0
convertdate 3370152 0
azure-mgmt-datalake-analytics 3358709 0
psycopg 3353471 0
xarray 3336404 0
datadog-api-client 3329505 1
voluptuous 3320902 0
azure-cosmosdb-table 3315242 0
lark 3291067 0
setuptools-rust 3289700 0
sphinx-rtd-theme 3289619 1
scandir 3270491 0
azure-devops 3267375 1
openapi-spec-validator 3253451 1
junit-xml 3241263 0
tensorflow-metadata 3227688 0
twilio 3226858 0
azure-keyvault-certificates 3215630 0
distributed 3212371 1
funcsigs 3204794 0
dacite 3195719 0
twine 3192214 1
apache-airflow-providers-sqlite 3189201 1
shortuuid 3175022 0
flask-session 3168282 0
pdfplumber 3167253 1
polars 3154826 1
azure-cosmosdb-nspkg 3149884 0
langcodes 3145638 0
google-cloud-monitoring 3138999 0
elastic-transport 3132763 1
uuid 3129567 0
configupdater 3109048 0
leather 3106231 0
spacy-legacy 3100901 0
azure-mgmt-consumption 3100536 0
google-cloud-container 3099048 0
azure-mgmt-relay 3081225 0
universal-pathlib 3068965 0
pep517 3066440 0
promise 3064319 0
ddsketch 3054868 0
commonmark 3053414 0
cloudpathlib 3052894 1
configargparse 3049353 0
looker-sdk 3042227 1
pyaml 3041466 0
h3 3037092 1
pydub 3035274 0
nbclassic 3034676 1
db-contrib-tool 3030476 1
apache-airflow-providers-databricks 3018023 1
pika 3017791 0
azure-mgmt-reservations 3014760 0
google-cloud-datastore 3012973 0
autopep8 3009035 0
logbook 3000369 0
pydash 2983117 0
aniso8601 2979570 0
configobj 2973066 0
nvidia-cudnn-cu11 2968872 0
pypdf 2941889 0
ansible-core 2934622 0
korean-lunar-calendar 2927478 0
orbax-checkpoint 2912709 1
hdfs 2904785 0
pyee 2903711 1
flax 2903445 1
pgpy 2902035 0
twisted 2900612 1
python-editor 2895354 0
nvidia-cublas-cu11 2879687 0
databricks-api 2879441 1
google-cloud-datacatalog 2843750 0
cog 2836524 0
minimal-snowplow-tracker 2830326 0
ndg-httpsclient 2819661 0
xyzservices 2817752 1
pytest-forked 2817734 0
apache-airflow-providers-slack 2816667 1
pymupdf 2814892 1
cx-oracle 2798570 0
django-filter 2789740 0
gradio-client 2780360 0
dirac 2778118 1
azure-kusto-ingest 2765522 1
azure-multiapi-storage 2761653 0
webdriver-manager 2760582 1
google-cloud-tasks 2760040 0
aws-xray-sdk 2755283 0
tensorflow-hub 2752370 0
bracex 2747228 0
mkdocs-material 2732326 0
streamlit 2714223 1
cookiecutter 2709650 0
hyperlink 2702388 0
google-ads 2699836 1
nvidia-cuda-runtime-cu11 2698458 0
nvidia-cuda-nvrtc-cu11 2694247 0
azure-cli-telemetry 2687774 0
requests-ntlm 2635181 0
javaproperties 2631590 0
strip-hints 2630652 1
py-cpuinfo 2624343 0
elasticsearch-dsl 2622925 1
constantly 2621339 0
addict 2620730 0
evergreen-py 2614648 1
pyhive 2611575 1
tableauserverclient 2609691 1
xlwt 2600528 0
w3lib 2599365 0
ec2-metadata 2598617 1
langsmith 2595337 0
azure-mgmt-apimanagement 2593076 0
azure-synapse-artifacts 2592437 0
langdetect 2592170 0
pathlib 2592082 1
sentence-transformers 2588546 1
apache-airflow-providers-google 2582697 1
time-machine 2570418 0
jupyter 2568618 1
google-cloud-build 2567424 1
pypandoc 2556375 0
azure-eventgrid 2545895 0
hijri-converter 2545374 0
marshmallow-dataclass 2528494 0
emoji 2526697 0
resolvelib 2518885 0
sqlalchemy-jsonfield 2518333 0
dbt-postgres 2514101 1
async-generator 2500196 0
google 2499476 0
mmh3 2491148 0
frozendict 2489289 0
cssselect2 2488677 0
parse-type 2486490 0
azure-mgmt-netapp 2480281 0
grpcio-reflection 2479531 0
google-cloud-compute 2464181 0
user-agents 2458919 0
azure-mgmt-redhatopenshift 2458778 0
incremental 2457608 0
cmdstanpy 2456967 0
google-cloud-pubsublite 2436891 1
ray 2430470 1
opentelemetry-util-http 2430436 0
azure-storage-file 2429418 0
service-identity 2420028 0
jdcal 2418488 0
azure-keyvault-administration 2417664 0
pipx 2411156 1
cairocffi 2407894 0
hologram 2402515 1
oldest-supported-numpy 2397656 1
bandit 2391747 0
pymsteams 2377108 0
azure-mgmt-privatedns 2364436 0
google-cloud-bigquery-datatransfer 2362103 0
torchaudio 2360499 1
aws-lambda-powertools 2357784 1
prison 2352516 0
dm-tree 2346627 1
pooch 2346579 0
pdfminer-six 2346417 1
pytz-deprecation-shim 2342361 0
swagger-ui-bundle 2333778 1
azure-mgmt-hdinsight 2327442 0
cairosvg 2325158 0
pycares 2315173 0
azure-mgmt-sqlvirtualmachine 2304755 0
azure-mgmt-security 2301720 0
google-cloud-dataplex 2301470 1
azure-mgmt-kusto 2299911 0
azure-synapse-spark 2298183 0
flask-babel 2289994 0
py-spy 2288083 0
azure-mgmt-managedservices 2286468 0
jaxlib 2280359 0
feedparser 2279153 0
azure-mgmt-appconfiguration 2272490 0
apache-airflow-providers-cncf-kubernetes 2268418 1
django-extensions 2267317 0
ldap3 2266909 0
ciso8601 2265662 0
aiodns 2263438 0
magicattr 2260582 0
azure-mgmt-imagebuilder 2256152 0
azure-mgmt-synapse 2252829 0
jellyfish 2250917 1
unittest-xml-reporting 2250175 0
hydra-core 2248049 1
qrcode 2243231 0
dynamodb-json 2242998 1
google-cloud-language 2242509 0
azure-mgmt-botservice 2239576 0
azure-mgmt-servicelinker 2229596 0
google-cloud-videointelligence 2220948 0
azure-synapse-accesscontrol 2216085 0
factory-boy 2215062 0
azure-synapse-managedprivateendpoints 2214153 0
azure-mgmt-extendedlocation 2208900 0
azure-mgmt-databoxedge 2207895 0
azure-mgmt-servicefabricmanagedclusters 2198136 0
firebase-admin 2195585 1
rdflib 2181538 0
markdown2 2174726 0
automat 2173806 0
somnium 2169688 1
binaryornot 2168448 0
passlib 2166575 0
fake-useragent 2164245 0
injector 2160426 0
dbt-snowflake 2160202 1
trino 2159018 0
newrelic 2157165 0
google-cloud-automl 2147120 0
blessed 2144396 0
mergedeep 2144345 0
